TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1402302249124;1;1;bigbench;1.0;4;ALL#SCHEDULERS;11310797;0;0;0;0;0;11310797;100.0;1.02;
1402302249124;1;1;bigbench;1.0;4;ALL#pdgf.util.caching.experimental.BucketSortOutputFileWriterIMPL$HouseKeeper;3703556581;1060000000;0;0;37809;41461000000;45164556581;8.2;7.644;
1402302249124;1;1;bigbench;1.0;4;ALL#worker#0;21480205389;21290000000;1;0;14546;19845000000;41325205389;51.978;39.533;
1402302249124;1;1;bigbench;1.0;4;ALL#worker#1;20894140193;20700000000;1;1023000000;14572;21474000000;43391140193;48.153;38.482;
1402302249124;1;1;bigbench;1.0;4;ALL#worker#2;20122688762;19930000000;1;1019000000;14620;20362000000;41503688762;48.484;37.098;
1402302249124;1;1;bigbench;1.0;4;ALL#worker#3;19545241529;19360000000;1;1023000000;14611;22025000000;42593241529;45.888;36.062;
1402302249124;1;1;bigbench;1.0;4;All#PausedThread;92354117;20000000;0;0;47;47116000000;47208354117;0.196;1.166;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#customer;1482810;0;0;0;0;0;1482810;100.0;1.003;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#customer_address;155427;0;0;0;0;0;155427;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#customer_demographics;163580;0;0;0;0;0;163580;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#date_dim;195669;0;0;0;0;0;195669;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#household_demographics;175021;0;0;0;0;0;175021;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#income_band;131647;0;0;0;0;0;131647;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#inventory;380887;0;0;0;0;0;380887;100.0;1.001;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#item;264496;0;0;0;0;0;264496;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#item_marketprices;219903;0;0;0;0;0;219903;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#product_reviews;216526;0;0;0;0;0;216526;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#promotion;259130;0;0;0;0;0;259130;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#reason;227656;0;0;0;0;0;227656;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#ship_mode;122028;0;0;0;0;0;122028;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store;206975;0;0;0;0;0;206975;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store_returns;238647;0;0;0;0;0;238647;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#store_sales;274208;0;0;0;0;0;274208;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#time_dim;277214;0;0;0;0;0;277214;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#warehouse;261006;0;0;0;0;0;261006;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_clickstreams;327216;0;0;0;0;0;327216;100.0;1.001;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_page;177023;0;0;0;0;0;177023;99.999;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_returns;249693;0;0;0;0;0;249693;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_sales;392252;0;0;0;0;0;392252;100.0;1.001;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#web_site;262633;0;0;0;0;0;262633;100.0;1.0;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#0;21479924005;21290000000;1;0;14546;19845000000;41324924005;51.978;39.532;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#1;20894041114;20700000000;1;1023000000;14572;21474000000;43391041114;48.153;38.481;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#2;20122569256;19930000000;1;1019000000;14620;20362000000;41503569256;48.484;37.098;
1402302249124;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.worker.RowWorker#worker#3;19545153229;19360000000;1;1023000000;14611;22025000000;42593153229;45.888;36.062;
1402306767022;1;1;bigbench;1.0;4;ALL#SCHEDULERS;10123474;0;0;0;0;0;10123474;100.0;1.021;
1402306767022;1;1;bigbench;1.0;4;ALL#pdgf.util.caching.experimental.BucketSortOutputFileWriterIMPL$HouseKeeper;3719279649;1040000000;0;0;39546;33671000000;37390279649;9.947;8.601;
1402306767022;1;1;bigbench;1.0;4;ALL#worker#0;19619702830;19450000000;0;0;14477;20884000000;40503702830;48.439;41.094;
1402306767022;1;1;bigbench;1.0;4;ALL#worker#1;19928485355;19760000000;0;0;14609;21122000000;41050485355;48.546;41.725;
1402306767022;1;1;bigbench;1.0;4;ALL#worker#2;19759885501;19590000000;0;0;14578;21166000000;40925885501;48.282;41.381;
1402306767022;1;1;bigbench;1.0;4;ALL#worker#3;19476915644;19310000000;0;0;14571;20640000000;40116915644;48.55;40.802;
1402306767022;1;1;bigbench;1.0;4;All#PausedThread;96241167;20000000;0;0;48;40484000000;40580241167;0.237;1.197;
1402306767022;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#customer;1277911;0;0;0;0;0;1277911;100.0;1.003;
1402306767022;1;1;bigbench;1.0;4;pdgf.core.dataGenerator.scheduler.DefaultScheduler#customer_address;171347;0;0;0;0;0;171347;99.999;1.0;
